ReportingEntityAspect,CalendarPeriodAspect,Concept,FactValue,Units,Rounding,FactID,Sequence
30810137d58f76b84afd | http://standards.iso.org/iso/17442,12/31/23,mini:CheckSum,0,iso4217:USD,INF,FACT914c8eb2,20
30810137d58f76b84afd | http://standards.iso.org/iso/17442,12/31/23,mini:RetainedEarnings,0,iso4217:USD,INF,FACT4d8d9760,18
30810137d58f76b84afd | http://standards.iso.org/iso/17442,2024-01-01 | 2024-12-31,mini:NetIncomeLoss,2050,iso4217:USD,INF,FACTfafe6de6,23
30810137d58f76b84afd | http://standards.iso.org/iso/17442,2024-01-01 | 2024-12-31,mini:DistributionsToOwner,0,iso4217:USD,INF,FACTb6effbaf,26
30810137d58f76b84afd | http://standards.iso.org/iso/17442,2024-01-01 | 2024-12-31,mini:ProceedsFromCollectionOfReceivables,8000,iso4217:USD,INF,FACT29a18694,21
30810137d58f76b84afd | http://standards.iso.org/iso/17442,2024-01-01 | 2024-12-31,mini:InvestmentsByOwner,10000,iso4217:USD,INF,FACT263f7434,25
30810137d58f76b84afd | http://standards.iso.org/iso/17442,2024-01-01 | 2024-12-31,mini:ProceedsFromInvestmentsByOwner,10000,iso4217:USD,INF,FACT47f43f1f,24
30810137d58f76b84afd | http://standards.iso.org/iso/17442,2024-01-01 | 2024-12-31,mini:IncreaseInReceivablesFromSalesOnAccount,8000,iso4217:USD,INF,FACT0e02f389,27
30810137d58f76b84afd | http://standards.iso.org/iso/17442,2024-01-01 | 2024-12-31,mini:PaymentForCapitalAdditionsOfPropertyPlantEquipment,1000,iso4217:USD,INF,FACT68044f06,34
30810137d58f76b84afd | http://standards.iso.org/iso/17442,2024-01-01 | 2024-12-31,mini:CollectionOfReceivables,8000,iso4217:USD,INF,FACTd0e94720,35
30810137d58f76b84afd | http://standards.iso.org/iso/17442,2024-01-01 | 2024-12-31,mini:BadDebtsWrittenOff,0,iso4217:USD,INF,FACTaa978817,37
30810137d58f76b84afd | http://standards.iso.org/iso/17442,2024-01-01 | 2024-12-31,mini:PaymentForReductionOfLongtermBorrowings,1000,iso4217:USD,INF,FACTb36ec1ac,33
30810137d58f76b84afd | http://standards.iso.org/iso/17442,2024-01-01 | 2024-12-31,mini:AdditionsToAllowanceForBadDebts,0,iso4217:USD,INF,FACT127a8031,36
30810137d58f76b84afd | http://standards.iso.org/iso/17442,2024-01-01 | 2024-12-31,mini:PaymentOfAccountsPayable,7000,iso4217:USD,INF,FACTb4c556d4,32
30810137d58f76b84afd | http://standards.iso.org/iso/17442,2024-01-01 | 2024-12-31,mini:DecreaseFromPaymentOfInterest,150,iso4217:USD,INF,FACTdf77b580,31
30810137d58f76b84afd | http://standards.iso.org/iso/17442,2024-01-01 | 2024-12-31,mini:InterestAccrued,550,iso4217:USD,INF,FACT679abda6,30
30810137d58f76b84afd | http://standards.iso.org/iso/17442,2024-01-01 | 2024-12-31,mini:PurchasesOfInventoryForSale,5000,iso4217:USD,INF,FACT6a2ee27d,28
30810137d58f76b84afd | http://standards.iso.org/iso/17442,2024-01-01 | 2024-12-31,mini:CapitalAdditionsPropertyPlantAndEquipment,1000,iso4217:USD,INF,FACT6d857505,29
30810137d58f76b84afd | http://standards.iso.org/iso/17442,2024-01-01 | 2024-12-31,mini:PurchasesInventoryForSaleOnAccount,8000,iso4217:USD,INF,FACTbbe16b8a,46
30810137d58f76b84afd | http://standards.iso.org/iso/17442,2024-01-01 | 2024-12-31,mini:DecreaseInInventoriesFromSales,2000,iso4217:USD,INF,FACT179ddaee,38
30810137d58f76b84afd | http://standards.iso.org/iso/17442,2024-01-01 | 2024-12-31,mini:InventoryWrittenOff,300,iso4217:USD,INF,FACTc9100e9b,39
30810137d58f76b84afd | http://standards.iso.org/iso/17442,2024-01-01 | 2024-12-31,mini:PropertyPlantAndEquipmentWrittenOff,0,iso4217:USD,INF,FACT1a4fe5e9,41
30810137d58f76b84afd | http://standards.iso.org/iso/17442,2024-01-01 | 2024-12-31,mini:DecreaseFromPaymentAccountsPayable,7000,iso4217:USD,INF,FACTb47f992a,42
30810137d58f76b84afd | http://standards.iso.org/iso/17442,2024-01-01 | 2024-12-31,mini:PaymentForDistributionsToOwner,0,iso4217:USD,INF,FACT68be80f8,44
30810137d58f76b84afd | http://standards.iso.org/iso/17442,2024-01-01 | 2024-12-31,mini:DecreaseFromDepreciationAndAmortization,100,iso4217:USD,INF,FACTc4c2319c,40
30810137d58f76b84afd | http://standards.iso.org/iso/17442,2024-01-01 | 2024-12-31,mini:RepaymentLongtermBorrowings,1000,iso4217:USD,INF,FACT6af24d5f,43
30810137d58f76b84afd | http://standards.iso.org/iso/17442,2024-01-01 | 2024-12-31,mini:AdditionalLongtermBorrowings,2000,iso4217:USD,INF,FACTbc4afcf2,47
30810137d58f76b84afd | http://standards.iso.org/iso/17442,2024-01-01 | 2024-12-31,mini:PaymentInterest,150,iso4217:USD,INF,FACTb633548d,45
30810137d58f76b84afd | http://standards.iso.org/iso/17442,2024-01-01 | 2024-12-31,mini:CheckSumChanges,0,iso4217:USD,INF,FACT67207258,48
30810137d58f76b84afd | http://standards.iso.org/iso/17442,2024-01-01 | 2024-12-31,mini:Sales,8000,iso4217:USD,INF,FACTb9ada62d,49
30810137d58f76b84afd | http://standards.iso.org/iso/17442,2024-01-01 | 2024-12-31,mini:OperatingExpenses,100,iso4217:USD,INF,FACT108c8268,57
30810137d58f76b84afd | http://standards.iso.org/iso/17442,2024-01-01 | 2024-12-31,mini:IncomeTaxExpenseBenefit,400,iso4217:USD,INF,FACTcc4d9bba,55
30810137d58f76b84afd | http://standards.iso.org/iso/17442,2024-01-01 | 2024-12-31,mini:SalesGeneralAndAdministrativeExpenses,0,iso4217:USD,INF,FACT1af52a17,51
30810137d58f76b84afd | http://standards.iso.org/iso/17442,2024-01-01 | 2024-12-31,mini:CostsOfSales,5300,iso4217:USD,INF,FACTaa437c6b,50
30810137d58f76b84afd | http://standards.iso.org/iso/17442,2024-01-01 | 2024-12-31,mini:InterestExpense,150,iso4217:USD,INF,FACTc63433c5,53
30810137d58f76b84afd | http://standards.iso.org/iso/17442,2024-01-01 | 2024-12-31,mini:GrossProfitLoss,2700,iso4217:USD,INF,FACT791c9719,56
30810137d58f76b84afd | http://standards.iso.org/iso/17442,2024-01-01 | 2024-12-31,mini:DepreciationAndAmortization,100,iso4217:USD,INF,FACT768265b9,52
30810137d58f76b84afd | http://standards.iso.org/iso/17442,2024-01-01 | 2024-12-31,mini:GainLossOnSalePropertyPlantEquipment,0,iso4217:USD,INF,FACTa5dd8ecb,54
30810137d58f76b84afd | http://standards.iso.org/iso/17442,2024-01-01 | 2024-12-31,mini:OperatingIncomeLoss,2600,iso4217:USD,INF,FACTe63cd1a0,58
30810137d58f76b84afd | http://standards.iso.org/iso/17442,2024-01-01 | 2024-12-31,mini:IncomeLossFromContinuingOperationsBeforeTax,2450,iso4217:USD,INF,FACT3afdc872,60
30810137d58f76b84afd | http://standards.iso.org/iso/17442,2024-01-01 | 2024-12-31,mini:IncreasesDecreasesFromTransfersFromLongterm,0,iso4217:USD,INF,FACT54a02aa7,65
30810137d58f76b84afd | http://standards.iso.org/iso/17442,12/31/24,mini:CashEquivalents,0,iso4217:USD,INF,FACTdb4f8f74,602
30810137d58f76b84afd | http://standards.iso.org/iso/17442,12/31/23,mini:CurrentPortionOfLongtermDebt,0,iso4217:USD,INF,FACT374997a9,62
30810137d58f76b84afd | http://standards.iso.org/iso/17442,12/31/24,mini:CurrentPortionOfLongtermDebt,0,iso4217:USD,INF,FACT3d565f0a,61
30810137d58f76b84afd | http://standards.iso.org/iso/17442,2024-01-01 | 2024-12-31,mini:NonoperatingIncomeExpenses,-150,iso4217:USD,INF,FACT38b105d5,59
30810137d58f76b84afd | http://standards.iso.org/iso/17442,2024-01-01 | 2024-12-31,mini:PaymentOfDividends,0,iso4217:USD,INF,FACT530bbddf,64
30810137d58f76b84afd | http://standards.iso.org/iso/17442,2024-01-01 | 2024-12-31,mini:Dividends,0,iso4217:USD,INF,FACT30e200d1,63
30810137d58f76b84afd | http://standards.iso.org/iso/17442,12/31/24,mini:TradeReceivables,0,iso4217:USD,INF,FACT6bf9d908,603
30810137d58f76b84afd | http://standards.iso.org/iso/17442,2024-01-01 | 2024-12-31,mini:IncreasesDecreasesFromTransfersFromCurrentPortion,0,iso4217:USD,INF,FACT8fcaa40d,66
30810137d58f76b84afd | http://standards.iso.org/iso/17442,12/31/24,mini:Cash,10850,iso4217:USD,INF,FACTb8a6327a,601
30810137d58f76b84afd | http://standards.iso.org/iso/17442,12/31/24,mini:WorkInProgress,0,iso4217:USD,INF,FACT7df05991,606
30810137d58f76b84afd | http://standards.iso.org/iso/17442,12/31/24,mini:FinishedGoods,0,iso4217:USD,INF,FACTb738c0da,605
30810137d58f76b84afd | http://standards.iso.org/iso/17442,12/31/24,mini:Land,0,iso4217:USD,INF,FACTa1314043,608
30810137d58f76b84afd | http://standards.iso.org/iso/17442,12/31/24,mini:TradePayables,1000,iso4217:USD,INF,FACT83c27240,613
30810137d58f76b84afd | http://standards.iso.org/iso/17442,12/31/24,mini:PropertyPlantAndEquipmentGross,1000,iso4217:USD,INF,FACTc2d8fd4d,611
30810137d58f76b84afd | http://standards.iso.org/iso/17442,12/31/24,mini:Equipment,1000,iso4217:USD,INF,FACT726eab31,610
30810137d58f76b84afd | http://standards.iso.org/iso/17442,12/31/24,mini:Buildings,0,iso4217:USD,INF,FACT773eec2f,609
30810137d58f76b84afd | http://standards.iso.org/iso/17442,12/31/24,mini:OtherReceivables,0,iso4217:USD,INF,FACT078e96a6,604
30810137d58f76b84afd | http://standards.iso.org/iso/17442,12/31/24,mini:AccumulatedDepreciation,100,iso4217:USD,INF,FACTaeafb2e3,612
30810137d58f76b84afd | http://standards.iso.org/iso/17442,12/31/24,mini:RawMaterial,2700,iso4217:USD,INF,FACTcd460fed,607
30810137d58f76b84afd | http://standards.iso.org/iso/17442,12/31/24,mini:MaturesInOneYear,1000,iso4217:USD,INF,FACT52b73449,617
30810137d58f76b84afd | http://standards.iso.org/iso/17442,12/31/24,mini:MaturesInFourYears,0,iso4217:USD,INF,FACT3905d71d,620
30810137d58f76b84afd | http://standards.iso.org/iso/17442,12/31/24,mini:OtherSecuredLoans,1000,iso4217:USD,INF,FACTe7ee63b4,616
30810137d58f76b84afd | http://standards.iso.org/iso/17442,12/31/24,mini:MaturesInThreeYears,0,iso4217:USD,INF,FACT81e8df3b,619
30810137d58f76b84afd | http://standards.iso.org/iso/17442,12/31/24,mini:MortgageLoans,0,iso4217:USD,INF,FACT5f036b92,615
30810137d58f76b84afd | http://standards.iso.org/iso/17442,12/31/24,mini:OtherPayables,0,iso4217:USD,INF,FACT3b2f7a66,614
30810137d58f76b84afd | http://standards.iso.org/iso/17442,12/31/24,mini:MaturesInFiveYears,0,iso4217:USD,INF,FACT5d29c6e9,621
30810137d58f76b84afd | http://standards.iso.org/iso/17442,12/31/23,mini:CashEquivalents,0,iso4217:USD,INF,FACT9fba01f8,624
30810137d58f76b84afd | http://standards.iso.org/iso/17442,12/31/23,mini:Cash,0,iso4217:USD,INF,FACT904ac8da,623
30810137d58f76b84afd | http://standards.iso.org/iso/17442,12/31/24,mini:MaturesThereafter,0,iso4217:USD,INF,FACTe5c4cecf,622
30810137d58f76b84afd | http://standards.iso.org/iso/17442,12/31/24,mini:MaturesInTwoYears,0,iso4217:USD,INF,FACT5d47fd6b,618
30810137d58f76b84afd | http://standards.iso.org/iso/17442,12/31/23,mini:Land,0,iso4217:USD,INF,FACT7cf42d5f,630
30810137d58f76b84afd | http://standards.iso.org/iso/17442,12/31/23,mini:TradeReceivables,0,iso4217:USD,INF,FACTfb96100c,625
30810137d58f76b84afd | http://standards.iso.org/iso/17442,12/31/23,mini:Buildings,0,iso4217:USD,INF,FACT18d83cab,631
30810137d58f76b84afd | http://standards.iso.org/iso/17442,12/31/23,mini:PropertyPlantAndEquipmentGross,0,iso4217:USD,INF,FACTcb87d7d9,633
30810137d58f76b84afd | http://standards.iso.org/iso/17442,12/31/23,mini:WorkInProgress,0,iso4217:USD,INF,FACT9024f358,628
30810137d58f76b84afd | http://standards.iso.org/iso/17442,12/31/23,mini:Equipment,0,iso4217:USD,INF,FACTa035348d,632
30810137d58f76b84afd | http://standards.iso.org/iso/17442,12/31/23,mini:FinishedGoods,0,iso4217:USD,INF,FACT9fd43a7a,627
30810137d58f76b84afd | http://standards.iso.org/iso/17442,12/31/23,mini:OtherReceivables,0,iso4217:USD,INF,FACT437b182a,626
30810137d58f76b84afd | http://standards.iso.org/iso/17442,12/31/23,mini:AccumulatedDepreciation,0,iso4217:USD,INF,FACT736adfff,634
30810137d58f76b84afd | http://standards.iso.org/iso/17442,12/31/23,mini:RawMaterial,0,iso4217:USD,INF,FACTc4192579,629
30810137d58f76b84afd | http://standards.iso.org/iso/17442,12/31/23,mini:MaturesInOneYear,0,iso4217:USD,INF,FACTb1f918ee,639
30810137d58f76b84afd | http://standards.iso.org/iso/17442,12/31/23,mini:OtherSecuredLoans,0,iso4217:USD,INF,FACTd5d5091a,638
30810137d58f76b84afd | http://standards.iso.org/iso/17442,12/31/23,mini:TradePayables,0,iso4217:USD,INF,FACT1746ce0b,635
30810137d58f76b84afd | http://standards.iso.org/iso/17442,12/31/23,mini:MaturesInFiveYears,0,iso4217:USD,INF,FACTbe67ea4e,643
30810137d58f76b84afd | http://standards.iso.org/iso/17442,12/31/23,mini:MaturesInFourYears,0,iso4217:USD,INF,FACTda4bfbba,642
30810137d58f76b84afd | http://standards.iso.org/iso/17442,12/31/23,mini:MortgageLoans,0,iso4217:USD,INF,FACT6d38013c,637
30810137d58f76b84afd | http://standards.iso.org/iso/17442,12/31/23,mini:MaturesInTwoYears,0,iso4217:USD,INF,FACT091410c8,640
30810137d58f76b84afd | http://standards.iso.org/iso/17442,2024-01-01 | 2024-12-31,mini:NatureBusinessTextBlock,ABC Company operates a pop up lemonade stand.,,,FACT7f0284fd,700
30810137d58f76b84afd | http://standards.iso.org/iso/17442,12/31/23,mini:MaturesThereafter,0,iso4217:USD,INF,FACT068ae268,644
30810137d58f76b84afd | http://standards.iso.org/iso/17442,12/31/23,mini:OtherPayables,0,iso4217:USD,INF,FACTafabc62d,636
30810137d58f76b84afd | http://standards.iso.org/iso/17442,12/31/23,mini:MaturesInThreeYears,0,iso4217:USD,INF,FACTd5bb3298,641
30810137d58f76b84afd | http://standards.iso.org/iso/17442,2024-01-01 | 2024-12-31,mini:AccountsPayablePoliciesTextBlock,Accounts payable consists of invoices received from suppliers which have not been paid as of the ...,,,FACTb189ed77,707
30810137d58f76b84afd | http://standards.iso.org/iso/17442,12/31/24,mini:NoncurrentAssets,900,iso4217:USD,INF,FACT45a22581,102
30810137d58f76b84afd | http://standards.iso.org/iso/17442,2024-01-01 | 2024-12-31,mini:InventoriesPoliciesTextBlock,Inventory consists of lemons and is values at the lower of cost or market value using the FIFO me...,,,FACTd5a5fc83,704
30810137d58f76b84afd | http://standards.iso.org/iso/17442,2024-01-01 | 2024-12-31,mini:CashAndCashEquivalentsPoliciesTextBlock,Cash and cash equivalents consists of a bank demand deposit.,,,FACT6fdd1f41,702
30810137d58f76b84afd | http://standards.iso.org/iso/17442,12/31/24,mini:CurrentAssets,13550,iso4217:USD,INF,FACTf04434e3,101
30810137d58f76b84afd | http://standards.iso.org/iso/17442,12/31/24,mini:Assets,14450,iso4217:USD,INF,FACT9b98ec35,103
30810137d58f76b84afd | http://standards.iso.org/iso/17442,2024-01-01 | 2024-12-31,mini:BasisReportingTextBlock,These financial statements are presented using the MINI financial reporting scheme using US dolla...,,,FACT68768839,701
30810137d58f76b84afd | http://standards.iso.org/iso/17442,2024-01-01 | 2024-12-31,mini:LongtermDebtPoliciesTextBlock,Long term debt consists of a note payable with a local bank secured by the equipment financed.,,,FACT731a2a66,708
30810137d58f76b84afd | http://standards.iso.org/iso/17442,2024-01-01 | 2024-12-31,mini:PropertyPlantAndEquipmentPoliciesTextBlock,Property plant  and equipment consists of refrigeration equipment that is depreciated over five …,,,FACT6d48f4a5,705
30810137d58f76b84afd | http://standards.iso.org/iso/17442,2024-01-01 | 2024-12-31,mini:ReceivablesPoliciesTextBlock,Accounts receivable are extended to all customers. ¬†Bad debts are written off after 90 days.,,,FACT03aa50ef,703
30810137d58f76b84afd | http://standards.iso.org/iso/17442,2024-01-01 | 2024-12-31,mini:RevenueRecognitionPoliciesTextBlock,Revenues is recognized when earned using accrual accounting.,,,FACT0964e551,706
30810137d58f76b84afd | http://standards.iso.org/iso/17442,12/31/24,mini:CurrentLiabilities,1400,iso4217:USD,INF,FACT99633c53,104
30810137d58f76b84afd | http://standards.iso.org/iso/17442,12/31/23,mini:CurrentAssets,0,iso4217:USD,INF,FACTe9d346da,110
30810137d58f76b84afd | http://standards.iso.org/iso/17442,12/31/23,mini:CurrentLiabilities,0,iso4217:USD,INF,FACTfb4010c1,113
30810137d58f76b84afd | http://standards.iso.org/iso/17442,12/31/24,mini:LiabilitiesAndEquity,14450,iso4217:USD,INF,FACT3fdceab6,108
30810137d58f76b84afd | http://standards.iso.org/iso/17442,12/31/24,mini:NoncurrentLiabilities,1000,iso4217:USD,INF,FACTe1e62302,105
30810137d58f76b84afd | http://standards.iso.org/iso/17442,12/31/23,mini:Assets,0,iso4217:USD,INF,FACT92671871,112
30810137d58f76b84afd | http://standards.iso.org/iso/17442,12/31/23,mini:Equity,0,iso4217:USD,INF,FACTee78d1a2,109
30810137d58f76b84afd | http://standards.iso.org/iso/17442,12/31/23,mini:NoncurrentAssets,0,iso4217:USD,INF,FACT909cc817,111
30810137d58f76b84afd | http://standards.iso.org/iso/17442,12/31/24,mini:Liabilities,2400,iso4217:USD,INF,FACTe64db47a,106
30810137d58f76b84afd | http://standards.iso.org/iso/17442,12/31/24,mini:Equity,12050,iso4217:USD,INF,FACT3d273ad0,107
30810137d58f76b84afd | http://standards.iso.org/iso/17442,12/31/24,coa:PayrollImprest,9000,iso4217:USD,INF,FACT0d4a9c30,29
30810137d58f76b84afd | http://standards.iso.org/iso/17442,12/31/23,mini:Liabilities,0,iso4217:USD,INF,FACTf139b8be,115
30810137d58f76b84afd | http://standards.iso.org/iso/17442,2024-01-01 | 2024-12-31,mini:NetCashFlowFinancingActivities,10850,iso4217:USD,INF,FACT4468b41d,118
30810137d58f76b84afd | http://standards.iso.org/iso/17442,12/31/24,coa:PettyCash,850,iso4217:USD,INF,FACTba575d34,31
30810137d58f76b84afd | http://standards.iso.org/iso/17442,12/31/24,coa:BankOfAmericaGeneralChecking,1000,iso4217:USD,INF,FACT081adb2e,27
30810137d58f76b84afd | http://standards.iso.org/iso/17442,12/31/23,mini:NoncurrentLiabilities,0,iso4217:USD,INF,FACT4ea601a3,114
30810137d58f76b84afd | http://standards.iso.org/iso/17442,2024-01-01 | 2024-12-31,mini:NetCashFlowInvestingActivities,-1000,iso4217:USD,INF,FACT57866e5b,119
30810137d58f76b84afd | http://standards.iso.org/iso/17442,2024-01-01 | 2024-12-31,mini:NetCashFlowOperatingActivities,1000,iso4217:USD,INF,FACTf4dee261,117
30810137d58f76b84afd | http://standards.iso.org/iso/17442,12/31/23,mini:LiabilitiesAndEquity,0,iso4217:USD,INF,FACT98a9adcf,116
30810137d58f76b84afd | http://standards.iso.org/iso/17442,2024-01-01 | 2024-12-31,mini:NetCashFlow,10850,iso4217:USD,INF,FACT3e167b2a,120
30810137d58f76b84afd | http://standards.iso.org/iso/17442,12/31/24,coa:RetainedEarnings,2050,iso4217:USD,INF,FACT8b5379f5,43
30810137d58f76b84afd | http://standards.iso.org/iso/17442,12/31/24,coa:NotePayableToBankOfAmerica,1000,iso4217:USD,INF,FACTf74cb026,41
30810137d58f76b84afd | http://standards.iso.org/iso/17442,2024-01-01 | 2024-12-31,coa:DepreciationAndAmortizationExpenses,100,iso4217:USD,INF,FACTc5290199,845
30810137d58f76b84afd | http://standards.iso.org/iso/17442,12/31/24,coa:FurnitureAndFixtures,900,iso4217:USD,INF,FACT2b3ab435,37
30810137d58f76b84afd | http://standards.iso.org/iso/17442,12/31/24,coa:AccountsPayable,1000,iso4217:USD,INF,FACT9977322f,39
30810137d58f76b84afd | http://standards.iso.org/iso/17442,2024-01-01 | 2024-12-31,coa:OtherNonoperatingExpenses,150,iso4217:USD,INF,FACTcb36a0db,841
30810137d58f76b84afd | http://standards.iso.org/iso/17442,12/31/24,coa:InventoriesOnHand,2700,iso4217:USD,INF,FACTdecc5101,35
30810137d58f76b84afd | http://standards.iso.org/iso/17442,12/31/24,coa:AccountsReceivable,0,iso4217:USD,INF,FACTd46cdf3d,33
30810137d58f76b84afd | http://standards.iso.org/iso/17442,2024-01-01 | 2024-12-31,coa:SalesOnAccount,8000,iso4217:USD,INF,FACT680e26bf,553
30810137d58f76b84afd | http://standards.iso.org/iso/17442,2024-01-01 | 2024-12-31,ekg:GeneralExpenses,0,iso4217:USD,INF,FACT316c3b47,837
30810137d58f76b84afd | http://standards.iso.org/iso/17442,2024-01-01 | 2024-12-31,coa:CostsOfGoodsSold,5300,iso4217:USD,INF,FACT5de7b5e0,833
30810137d58f76b84afd | http://standards.iso.org/iso/17442,2024-01-01 | 2024-12-31,coa:PropertyAndEquipmentWrittenOff,0,iso4217:USD,INF,FACT49e36964,849
30810137d58f76b84afd | http://standards.iso.org/iso/17442,12/31/23,coa:PayrollImprest,0,iso4217:USD,INF,FACT1321042e,18313
30810137d58f76b84afd | http://standards.iso.org/iso/17442,12/31/23,coa:NotePayableToBankOfAmerica,0,iso4217:USD,INF,FACT716ad39e,18319
30810137d58f76b84afd | http://standards.iso.org/iso/17442,12/31/23,coa:BankOfAmericaGeneralChecking,0,iso4217:USD,INF,FACT06f70c56,18312
30810137d58f76b84afd | http://standards.iso.org/iso/17442,12/31/23,coa:PettyCash,0,iso4217:USD,INF,FACTa4b69808,18314
30810137d58f76b84afd | http://standards.iso.org/iso/17442,12/31/23,coa:FurnitureAndFixtures,0,iso4217:USD,INF,FACTe8ca973c,18317
30810137d58f76b84afd | http://standards.iso.org/iso/17442,12/31/23,coa:InventoriesOnHand,0,iso4217:USD,INF,FACTc11f0521,18316
30810137d58f76b84afd | http://standards.iso.org/iso/17442,2024-01-01 | 2024-12-31,coa:ProvisionForIncomeTaxes,400,iso4217:USD,INF,FACTc6b0eb6a,853
30810137d58f76b84afd | http://standards.iso.org/iso/17442,12/31/23,coa:AccountsPayable,0,iso4217:USD,INF,FACT0aab6149,18318
30810137d58f76b84afd | http://standards.iso.org/iso/17442,12/31/23,coa:AccountsReceivable,0,iso4217:USD,INF,FACT6fa98b73,18315
30810137d58f76b84afd | http://standards.iso.org/iso/17442,12/31/23,coa:RetainedEarnings,0,iso4217:USD,INF,FACTb79f4381,18320
30810137d58f76b84afd | http://xbrlsite.com/id,2024-01-01 | 2024-12-31,gl:EntryCode,JE-201,,,FACT24f40ddd,4632
30810137d58f76b84afd | http://xbrlsite.com/id,2024-01-01 | 2024-12-31,gl:EntryEconomicEntity,30810137d58f76b84afd,,,FACTc47cb167,4664
30810137d58f76b84afd | http://xbrlsite.com/id,2024-01-01 | 2024-12-31,gl:EntryEconomicEntity,30810137d58f76b84afd,,,FACTe0d5aadb,4665
30810137d58f76b84afd | http://xbrlsite.com/id,2024-01-01 | 2024-12-31,gl:EntryCode,JE-201,,,FACT4189892d,4633
30810137d58f76b84afd | http://xbrlsite.com/id,2024-01-01 | 2024-12-31,gl:EntryEconomicEntity,30810137d58f76b84afd,,,FACTfca041d6,4666
30810137d58f76b84afd | http://xbrlsite.com/id,2024-01-01 | 2024-12-31,gl:EntryEconomicEntity,30810137d58f76b84afd,,,FACTeafa519b,4673
30810137d58f76b84afd | http://xbrlsite.com/id,2024-01-01 | 2024-12-31,gl:EntryEconomicEntity,30810137d58f76b84afd,,,FACT11cab363,4668
30810137d58f76b84afd | http://xbrlsite.com/id,2024-01-01 | 2024-12-31,gl:EntryEconomicEntity,30810137d58f76b84afd,,,FACTcf205a7d,4670
30810137d58f76b84afd | http://xbrlsite.com/id,2024-01-01 | 2024-12-31,gl:EntryEconomicEntity,30810137d58f76b84afd,,,FACTb618dc6b,4672
30810137d58f76b84afd | http://xbrlsite.com/id,2024-01-01 | 2024-12-31,gl:EntryEconomicEntity,30810137d58f76b84afd,,,FACT85383f1a,4667
30810137d58f76b84afd | http://xbrlsite.com/id,2024-01-01 | 2024-12-31,gl:EntryEconomicEntity,30810137d58f76b84afd,,,FACTc7257bf0,4669
30810137d58f76b84afd | http://xbrlsite.com/id,2024-01-01 | 2024-12-31,gl:EntryEconomicEntity,30810137d58f76b84afd,,,FACTf1e20510,4674
30810137d58f76b84afd | http://xbrlsite.com/id,2024-01-01 | 2024-12-31,gl:EntryEconomicEntity,30810137d58f76b84afd,,,FACT892284fd,4671
